,Purpose Code,Categorization
7395,2.25 OBAMA BUTTONS,administrative
2583,3X4 & YARD SIGNS,administrative
1971,AFSCME FOR HILLARY T-SHIRTS,administrative
657,AMEX PMT SB21B21314 AUDIO VISUAL SERVICES,administrative
3700,APPAREL AND DISTRIBUTION,administrative
1091,APPAREL DISTRIBUTION-ESTIMATED COSTS,administrative
2206,ARM BAND REFLECTORS (ESTIMATE),administrative
6910,ART CHARGE: MAZIE YARD SIGNS,administrative
1166,ASSIST WITH RALLY; DISTRIBUTE CAMPAIGN MATERIALS,administrative
721,AUDIO RENTAL,administrative
790,AUDIO SYSTEM SERVICES,administrative
779,AUDIO VISUAL CHARGES,administrative
638,AUDIO VISUAL EXPENSE,administrative
710,AUDIO VISUAL FOR EVENT,administrative
656,AUDIO VISUAL FOR STATE CONVENTION,administrative
758,AUDIO VISUAL LIGHTING,administrative
759,AUDIO VISUAL PROGRAMMING,administrative
640,AUDIO VISUAL RENTAL,administrative
607,AUDIO VISUAL SERVICE,administrative
624,AUDIO VISUAL SERVICES AMEX SB2311631135,administrative
672,AUDIO VISUAL SERVICES AMEX SB231615120,administrative
634,AUDIO VISUAL SERVICES AMEX SB23230979,administrative
630,AUDIO VISUAL SERVICES AMEX SB232464826,administrative
654,AUDIO VISUAL SERVICES AMEX SB232859906,administrative
636,AUDIO VISUAL SERVICES AMEX SB232859911,administrative
615,AUDIO VISUAL SERVICES AMEX SB234102,administrative
617,AUDIO VISUAL SERVICES AMEX SB23599732,administrative
648,AUDIO VISUAL STAGING,administrative
608,AUDIO VISUAL SVC,administrative
618,AUDIO VISUAL SVC STAGING,administrative
746,AUDIO VISUAL TRUMP EVENT,administrative
5763,BUMPER STICKER PRODUCTION AND INDIVIDUAL MAILING,administrative
1677,BUMPER STICKER PRODUCTION AND MAILING,administrative
316,BUMPER STICKERS,administrative
4380,BUMPER STICKERS - JOE DONNELLY,administrative
7077,BUMPER STICKERS - OBAMA,administrative
1118,BUMPER STICKERS AND HARD HAT STICKERS,administrative
2011,BUMPER STICKERS/LAPEL STICKERS/STATIC STICKERS,administrative
644,BUTTONS,administrative
7461,BUTTONS/STICKERS FOR STEPHENE MOORE CAMPAIGN TO ANA MEMBERS,administrative
7867,CA 10-MAILER PRODUCTION,administrative
231,CAMPAIGN MATERIALS,administrative
249,CAMPAIGN MERCHANDISE,administrative
1597,CAMPAIGN SIGNAGE,administrative
6192,CAMPAIGN STICKERS,administrative
1492,CAMPAIGN T-SHIRTS DESIGN SERVICES,administrative
235,COLLATERAL HATS,administrative
348,COLLATERAL T SHIRTS BANNERS STICKERS,administrative
279,COLLATERAL T SHIRTS HATS BANNERS STICKERS,administrative
205,COLLATERAL TSHIRTS MUGS STICKERS FREIGHT,administrative
70,COMPUTER SERVICES,administrative
2348,COSTUME MATERIALS,administrative
4703,CWA RETIREE MAILING,administrative
188,DATA ENTRY SVC,administrative
7087,DELIVERY OF MAILING PIECES,administrative
6372,DESIGN FEE FOR POSTCARDS,administrative
