,Purpose Code,Categorization
22,PRINTED MATERIALS,administrative
27,IE-MCCLUNG-SIGNAGE,administrative
34,INTERNET SERVICES,administrative
41,INTERNET,administrative
57,ELECTION 2012 - OBAMA SIGNS,administrative
58,IE-WATSON-YARD SIGNS,administrative
70,COMPUTER SERVICES,administrative
74,INTERNET SERVICE,administrative
132,OBAMA SIGNS,administrative
161,DESIGN GRAPHICS,administrative
162,PAYROLL TAXES RETIREMENT SVC,administrative
178,PAYROLL TAXES WITHHOLDINGS,administrative
182,IE-CURBELO-STICKERS/BROCHURES,administrative
188,DATA ENTRY SVC,administrative
205,COLLATERAL TSHIRTS MUGS STICKERS FREIGHT,administrative
209,POSTER DESIGN,administrative
213,SIGNS,administrative
215,YARD SIGNS,administrative
222,EVENT CONSULTING,administrative
231,CAMPAIGN MATERIALS,administrative
232,T SHIRTS BUMPER STICKERS PINS,administrative
235,COLLATERAL HATS,administrative
247,POLITICAL SOUVENIRS,administrative
249,CAMPAIGN MERCHANDISE,administrative
257,PODIUM SIGN,administrative
260,SIGN DISTRIBUTION,administrative
271,IE-MCDANIEL-SIGNAGE,administrative
272,ELECTION 2012 - OBAMA BUMPER STICKERS,administrative
275,SIGNAGE,administrative
278,TSHIRTS,administrative
279,COLLATERAL T SHIRTS HATS BANNERS STICKERS,administrative
284,IE-RAESE-BUMPER STICKERS,administrative
302,TOWN HALL PRODUCTIONS,administrative
304,LAWN SIGNS,administrative
308,PRINTING CANVASSING LITERATURE NO EXPRESS ADVOCACY,administrative
316,BUMPER STICKERS,administrative
325,CAMPAIGN EVENT,administrative
326,FLIER PRODUCTION,administrative
333,CAMPAIGN LITERATURE AND MAILINGS,administrative
337,FLAT EARTH FIVE MAILER INSERTS,administrative
348,COLLATERAL T SHIRTS BANNERS STICKERS,administrative
365,PRINTING TELEPHONE CALLS  CANVASSING ESTIMATE  GOTV,administrative
373,SERIES OF MAIL PIECES,administrative
376,PRINTING FIELD,administrative
378,STAFF TIME ON MAIL PIECE (NATIONWIDE EXPENDITURE),administrative
391,CAMPAIGN EVENT EXPENSES,administrative
393,INV. # 81640 - HATS AND T SHIRTS - CRITZ CAMPAIGN,administrative
411,IE-MANDEL-SIGNAGE/DOOR HANGERS/BUMPER STICKERS,administrative
442,STAGING SOUND LIGHTING,administrative
471,INDEPENDENT EXPENDITURE - FLYERS,administrative
482,PRINTING - VOTE FOR ANN KUSTER,administrative
488,PRINT 4 COLOR FLYERS PRODUCTION COST,administrative
512,STAFF TIME FOR MEDIA CREATION (VIA DRAWDOWN),administrative
519,REIMBURSEMENT FOR POSTAGE FOR MAILING CAMPAIGN MATERIALS TO VOTERS,administrative
534,IE-MCDANIEL-YARD SIGNS,administrative
537,SNACKS FOR EVENT,administrative
577,YARD SIGNS & CARDS,administrative
595,ESTIMATE:MAILER - DECAL,administrative
595,PHOTOGRAPHY SERVICES,administrative
607,"9,000 POSTCARDS",administrative
607,AUDIO VISUAL SERVICE,administrative
608,AUDIO VISUAL SVC,administrative
611,STAGING AUDIO VISUAL LIGHTING,administrative
615,AUDIO VISUAL SERVICES AMEX SB234102,administrative
617,AUDIO VISUAL SERVICES AMEX SB23599732,administrative
618,AUDIO VISUAL SVC STAGING,administrative
619,STAGING AUDIO VISUAL SERVICES,administrative
622,STAGING LIGHTING AUDIO VISUAL,administrative
624,AUDIO VISUAL SERVICES AMEX SB2311631135,administrative
626,IE-WALORKSI-SIGNAGE,administrative
628,IE-PHILPOT-BUMPER STICKERS,administrative
630,AUDIO VISUAL SERVICES AMEX SB232464826,administrative
631,NON-FEDERAL CAMPAIGN MAILER,administrative
632,T-SHIRTS/RALLY SIGNS,administrative
634,AUDIO VISUAL SERVICES AMEX SB23230979,administrative
635,EVENT AUDIO VISUAL SERVICES,administrative
636,AUDIO VISUAL SERVICES AMEX SB232859911,administrative
638,AUDIO VISUAL EXPENSE,administrative
640,AUDIO VISUAL RENTAL,administrative
644,BUTTONS,administrative
648,AUDIO VISUAL STAGING,administrative
654,AUDIO VISUAL SERVICES AMEX SB232859906,administrative
655,EVENT AUDIO VISUAL SERVICE,administrative
656,AUDIO VISUAL FOR STATE CONVENTION,administrative
656,DESIGN LEAFLET,administrative
657,AMEX PMT SB21B21314 AUDIO VISUAL SERVICES,administrative
672,AUDIO VISUAL SERVICES AMEX SB231615120,administrative
674,IN-KIND ADVOCACY BUMPER STICKERS AND SHIPPING,administrative
675,IE-MOUDOCK-EVENT SITE RENTAL,administrative
710,AUDIO VISUAL FOR EVENT,administrative
721,AUDIO RENTAL,administrative
723,SIGNS FOR EVENT,administrative
746,AUDIO VISUAL TRUMP EVENT,administrative
758,AUDIO VISUAL LIGHTING,administrative
759,"BROCHURE MAILER-PRODUCTION, SHIP., POST",administrative
759,AUDIO VISUAL PROGRAMMING,administrative
771,SOUND AND LIGHTING AT EVENT,administrative
774,TEAMSTERS FOR OBAMA SHIRTS,administrative
779,AUDIO VISUAL CHARGES,administrative
785,EVENT AUDIO SERVICES,administrative
790,AUDIO SYSTEM SERVICES,administrative
792,SIGNS AND STICKERS,administrative
814,PROMOTIONAL BUTTONS,administrative
845,IE-BUCK-YARD SIGNS,administrative
946,INV. # 0024777-IN - T-SHIRTS - OBAMA CAMPAIGN,administrative
950,PREDICTIVE DIALER,administrative
956,IE-BUCSHON-YARD SIGNS,administrative
958,IE-STENBERG-BUMPER STICKERS,administrative
970,PLACARDS/BANNERS/BUMPER STICKERS & SHIPPING COSTS,administrative
975,PRINTING OF PALM CARDS,administrative
1003,YARD & CARD SIGNS,administrative
1010,IE-MOURDOCK-CAMPAIGN BUTTONS,administrative
1015,DESIGN POSTCARD,administrative
1024,IE-MACK-YARD SIGN-SHIPPING,administrative
1045,DISTRIBUTION OF 360 LETTER CARRIER FOR OBAMA T-SHIRTS TO NALC MEMBERS,administrative
1051,REIMB. FOR PRODUCTION OF BERNIE T-SHIRTS,administrative
1068,IE-HAYWORTH-BUMPER STICKERS,administrative
1091,APPAREL DISTRIBUTION-ESTIMATED COSTS,administrative
1118,BUMPER STICKERS AND HARD HAT STICKERS,administrative
1119,YARD SIGN SHIPPING,administrative
1121,MAILING FLIER,administrative
1146,T-SHIRTS FOR PA,administrative
1166,ASSIST WITH RALLY; DISTRIBUTE CAMPAIGN MATERIALS,administrative
1174,SEPTEMBER LITERATURE ESTIMATED,administrative
1178,RECEPTION FLIERS: HARRY REID VOTES,administrative
1185,IE-LANDRY-SIGNAGE,administrative
1187,SIGN INSTALLATION,administrative
1206,PRODUCTION AND SHIPPING COSTS OF CABLE AD,administrative
1227,THE EXHIBIT PLACE - INVOICE 27492 (FLYERS),administrative
1256,IE-MOURDOCK-BUMPER STICKERS/DOOR HANGERS,administrative
1274,PRINTING AND SHIPPING - YARD SIGNS,administrative
1285,IE-ALLEN-SIGNAGE,administrative
1313,RALLY & YARD SIGN - DISSEMINATED 10/31/2016,administrative
1325,IE-CAMPBELL-SIGNAGE,administrative
1339,PRINTING & MAIL SHOP ESTIMATE OF NATIONWIDE DM OPPOSING HILLARY CLINTON. DMS SENT ON 11/30/15.,administrative
1347,IE-MANDEL-YARD SIGNS,administrative
1376,IE-MACK-YARD SIGNS/DOOR HANGERS,administrative
1379,BUMPER STICKER PRINTING,administrative
1404,IE-BENTIVOLIO-SIGNAGE,administrative
1415,IE-BEVIN-STICKERS,administrative
1438,LEAFLET- COUNTRY DIVIDED (ESTIMATED),administrative
1466,INV. # 84698 - ELIZABETH WARREN HARD HAT STICKERS,administrative
1482,ROMNEY/RYAN YARD SIGNS,administrative
1488,STICKERS & LEAFLETS,administrative
1492,CAMPAIGN T-SHIRTS DESIGN SERVICES,administrative
1597,CAMPAIGN SIGNAGE,administrative
1677,BUMPER STICKER PRODUCTION AND MAILING,administrative
1745,PRINTING - CAMPAIGN T-SHIRTS,administrative
1763,BUMPER STICKERS (TO BE REIMBURSED),administrative
1782,SIGNS AND WINDSHIELD STICKERS,administrative
1786,IE-WALORSKI-YARD SIGNS,administrative
1787,PRINTING PLEDGE TO VOTE CARDS,administrative
1805,UFCW FOR OBAMA BUTTONS,administrative
1822,YARD SIGNERS AND DOOR HANGERS,administrative
1824,IE-LILJENQUIST-DOOR HANGERS/YARD SIGNS,administrative
1839,EST. PAYMENT FOR BUTTONS & T-SHIRTS,administrative
1853,IE-BIRMAN-YARD SIGNS,administrative
1858,DESIGN/PRINT YARD SIGNS,administrative
1859,"DESIGN, PRINTING AND POSTAGE FOR MAIL",administrative
1905,POSTERS FOR EVENT,administrative
1911,IE-TOOMEY-SIGNAGE,administrative
1938,PRINTING - CAMPAIGN BUTTONS AND STICKERS,administrative
1971,AFSCME FOR HILLARY T-SHIRTS,administrative
2011,BUMPER STICKERS/LAPEL STICKERS/STATIC STICKERS,administrative
2033,IE-SANFORD-YARD SIGNS,administrative
2075,IE-BUERKLE-YARD SIGNS,administrative
